Azimuth -100
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
-20	28.2	-10.3	68.2	34.2	1.8	34.2
-30	26.0	-15.0	66.0	29.5	4.0	29.5


Azimuth 20
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
70	10.3	28.2	50.3	72.7	19.7	72.7
50	19.3	23.0	59.3	67.5	10.7	67.5
30	26.0	15.0	66.0	59.5	4.0	59.5
20	28.2	10.3	68.2	54.8	1.8	54.8
10	29.5	5.2	69.5	49.7	0.5	49.7
0	30.0	0.0	70.0	44.5	0.0	44.5
-10	29.5	-5.2	69.5	39.3	0.5	39.3
-20	28.2	-10.3	68.2	34.2	1.8	34.2
-30	26.0	-15.0	66.0	29.5	4.0	29.5
-50	19.3	-23.0	59.3	21.5	10.7	21.5
-70	10.3	-28.2	50.3	16.3	19.7	16.3


Azimuth 30
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
60	15.0	26.0	55.0	70.5	15.0	70.5
20	28.2	10.3	68.2	54.8	1.8	54.8
10	29.5	5.2	69.5	49.7	0.5	49.7
0	30.0	0.0	70.0	44.5	0.0	44.5
-10	29.5	-5.2	69.5	39.3	0.5	39.3
-20	28.2	-10.3	68.2	34.2	1.8	34.2
-60	15.0	-26.0	55.0	18.5	15.0	18.5


Azimuth 40
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
40	23.0	19.3	63.0	63.8	7.0	63.8
0	30.0	0.0	70.0	44.5	0.0	44.5
-40	23.0	-19.3	63.0	25.2	7.0	25.2


Azimuth 50
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
50	19.3	23.0	59.3	67.5	10.7	67.5
30	26.0	15.0	66.0	59.5	4.0	59.5
10	29.5	5.2	69.5	49.7	0.5	49.7
0	30.0	0.0	70.0	44.5	0.0	44.5
-10	29.5	-5.2	69.5	39.3	0.5	39.3
-30	26.0	-15.0	66.0	29.5	4.0	29.5
-50	19.3	-23.0	59.3	21.5	10.7	21.5


Azimuth 60
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
60	15.0	26.0	55.0	70.5	15.0	70.5
0	30.0	0.0	70.0	44.5	0.0	44.5
-60	15.0	-26.0	55.0	18.5	15.0	18.5


Azimuth 70
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
70	10.3	28.2	50.3	72.7	19.7	72.7
40	23.0	19.3	63.0	63.8	7.0	63.8
20	28.2	10.3	68.2	54.8	1.8	54.8
0	30.0	0.0	70.0	44.5	0.0	44.5
-20	28.2	-10.3	68.2	34.2	1.8	34.2
-40	23.0	-19.3	63.0	25.2	7.0	25.2
-70	10.3	-28.2	50.3	16.3	19.7	16.3


Azimuth 80
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
50	19.3	23.0	59.3	67.5	10.7	67.5
30	26.0	15.0	66.0	59.5	4.0	59.5
10	29.5	5.2	69.5	49.7	0.5	49.7
0	30.0	0.0	70.0	44.5	0.0	44.5
-10	29.5	-5.2	69.5	39.3	0.5	39.3
-30	26.0	-15.0	66.0	29.5	4.0	29.5
-50	19.3	-23.0	59.3	21.5	10.7	21.5


Azimuth 90
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
60	15.0	26.0	55.0	70.5	15.0	70.5
40	23.0	19.3	63.0	63.8	7.0	63.8
0	30.0	0.0	70.0	44.5	0.0	44.5
-40	23.0	-19.3	63.0	25.2	7.0	25.2
-60	15.0	-26.0	55.0	18.5	15.0	18.5


Azimuth 100
EL	delta_x	delta_z	x (in)	z (in)	L (in)	H (in)
80	5.2	29.5	45.2	74.0	24.8	74.0
50	19.3	23.0	59.3	67.5	10.7	67.5
20	28.2	10.3	68.2	54.8	1.8	54.8
0	30.0	0.0	70.0	44.5	0.0	44.5
-20	28.2	-10.3	68.2	34.2	1.8	34.2
-50	19.3	-23.0	59.3	21.5	10.7	21.5
-80	5.2	-29.5	45.2	15.0	24.8	15.0


